Origin,Dest,Distance
DLG,ANC,329
ANC,DLG,329
MFR,SFO,329
SFO,MFR,329
FAY,ATL,331
MSP,LNK,331
CLT,DCA,331
DCA,CLT,331
ATL,FAY,331
LNK,MSP,331
ATL,MEM,332
ELM,DTW,332
DTW,ELM,332
MEM,ATL,332
SJC,ONT,333
DAL,ICT,333
ICT,DAL,333
ONT,SJC,333
ORD,MSP,334
MSP,ORD,334
SDF,CLT,335
CLT,SDF,335
PIT,LGA,335
LGA,PIT,335
CLT,CVG,335
MIA,JAX,335
CVG,CLT,335
JAX,MIA,335
RDU,PHL,337
CMH,BNA,337
LAX,OAK,337
OAK,LAX,337
BNA,CMH,337
BWI,CMH,337
LAX,SFO,337
PHL,RDU,337
SFO,LAX,337
CMH,BWI,337
SNA,PHX,338
PHX,SNA,338
SGF,HYS,339
PIT,JFK,340
JFK,PIT,340
LBB,AUS,341
JAN,ATL,341
ATL,JAN,341
AUS,LBB,341
PIA,MSP,342
MSP,PIA,342
ORD,PAH,342
SNA,SJC,342
SJC,SNA,342
STL,OMA,342
OMA,STL,342
PAH,ORD,342
ORD,CAK,343
CAK,ORD,343
BOI,PDX,344
PDX,BOI,344
LAS,RNO,345
RNO,LAS,345
PIA,DTW,346
DTW,PIA,346
ELP,PHX,347
BZN,SLC,347
CLT,CMH,347
PHX,ELP,347
CMH,CLT,347
SLC,BZN,347
DEN,ABQ,349
MSP,MDW,349
MDW,MSP,349
ABQ,DEN,349
DTW,MQT,349
MQT,DTW,349
ATL,EVV,350
EVV,ATL,350
IAH,JAN,351
EUG,BOI,351
JAN,IAH,351
STL,TUL,351
DFW,LFT,351
LFT,DFW,351
BOI,EUG,351
TUL,STL,351
PHX,DRO,351.83751651254954
DRO,PHX,351.83751651254954
ATL,GPT,352
GPT,ATL,352
DTW,ITH,353
LGB,OAK,353
ITH,DTW,353
OAK,LGB,353
CRP,DFW,354
SFO,LGB,354
LGB,SFO,354
DFW,CRP,354
LGB,PHX,355
PHX,LGB,355
RDU,ATL,356
CRW,MYR,356
ATL,RDU,356
MYR,CRW,356
PVD,DCA,356
DCA,PVD,356
ROA,ATL,357
ATL,ROA,357
SMF,BUR,358
BUR,SMF,358
SLC,BTM,358
BTM,SLC,358
AMA,DEN,359
DEN,AMA,359
CMX,ORD,359.2520547945206
ORD,CMX,359.25240054869687
CLT,BWI,361
BWI,CLT,361
OAK,ONT,362
ONT,OAK,362
PHL,CLE,363
CLE,PHL,363
ATL,CRW,363
DTW,EVV,363
EVV,DTW,363
ONT,SFO,363
SFO,ONT,363
CRW,ATL,363
DFW,SGF,364
SGF,DFW,364
TUS,LAS,365
LAS,TUS,365
ATL,DAB,366
DAB,ATL,366
PIT,CLT,366
CLT,PIT,366
LAS,SLC,368
TUS,SAN,368
DAY,IAD,368
SAN,TUS,368
IAD,DAY,368
SLC,LAS,368
BOS,BWI,369
BUR,PHX,369
BWI,BOS,369
PHX,BUR,369
LAX,PHX,370
PHX,LAX,370
MDT,DTW,371
DTW,MDT,371
OAK,SNA,371
